point_index;time;latitude;longitude;altitude_m;distance_step_m;distance_cum_m;time_step_s;speed_m_s;speed_km_h;elevation_delta_m;slope_percent_raw;segment_type_raw;slope_percent_smooth_5pts;speed_km_h_smooth_5pts;segment_type_smooth
27;2026-05-10T08:01:44+00:00;44.124236;5.988174;850.0;5.0;130.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
28;2026-05-10T08:01:48+00:00;44.124266;5.988194;850.0;5.0;135.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
29;2026-05-10T08:01:52+00:00;44.124296;5.988214;850.0;5.0;140.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
30;2026-05-10T08:01:56+00:00;44.124326;5.988234;850.0;5.0;145.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
31;2026-05-10T08:02:00+00:00;44.124356;5.988254;850.0;5.0;150.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
32;2026-05-10T08:02:04+00:00;44.124386;5.988274;850.0;5.0;155.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
33;2026-05-10T08:02:08+00:00;44.124416;5.988294;850.0;5.0;160.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
34;2026-05-10T08:02:12+00:00;44.124446;5.988314;850.0;5.0;165.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
35;2026-05-10T08:02:16+00:00;44.124476;5.988334;850.0;5.0;170.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
36;2026-05-10T08:02:20+00:00;44.124506;5.988354;850.0;5.0;175.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
37;2026-05-10T08:02:24+00:00;44.124536;5.988374;850.0;5.0;180.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
38;2026-05-10T08:02:28+00:00;44.124566;5.988394;850.0;5.0;185.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
39;2026-05-10T08:02:32+00:00;44.124596;5.988414;850.0;5.0;190.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
40;2026-05-10T08:02:36+00:00;44.124626;5.988434;850.0;5.0;195.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
41;2026-05-10T08:02:40+00:00;44.124656;5.988454;850.0;5.0;200.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
42;2026-05-10T08:02:44+00:00;44.124686;5.988474;850.0;5.0;205.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
43;2026-05-10T08:02:48+00:00;44.124716;5.988494;850.0;5.0;210.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
44;2026-05-10T08:02:52+00:00;44.124746;5.988514;850.0;5.0;215.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
45;2026-05-10T08:02:56+00:00;44.124776;5.988534;850.0;5.0;220.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
46;2026-05-10T08:03:00+00:00;44.124806;5.988554;850.0;5.0;225.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
47;2026-05-10T08:03:04+00:00;44.124836;5.988574;850.0;5.0;230.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
48;2026-05-10T08:03:08+00:00;44.124866;5.988594;850.0;5.0;235.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
49;2026-05-10T08:03:12+00:00;44.124896;5.988614;850.0;5.0;240.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
50;2026-05-10T08:03:16+00:00;44.124926;5.988634;850.0;5.0;245.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
51;2026-05-10T08:03:20+00:00;44.124956;5.988654;850.0;5.0;250.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
52;2026-05-10T08:03:24+00:00;44.124986;5.988674;850.0;5.0;255.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
53;2026-05-10T08:03:28+00:00;44.125016;5.988694;850.0;5.0;260.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
54;2026-05-10T08:03:32+00:00;44.125046;5.988714;850.0;5.0;265.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
55;2026-05-10T08:03:36+00:00;44.125076;5.988734;850.0;5.0;270.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
56;2026-05-10T08:03:40+00:00;44.125106;5.988754;850.0;5.0;275.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
57;2026-05-10T08:03:44+00:00;44.125136;5.988774;850.0;5.0;280.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
58;2026-05-10T08:03:48+00:00;44.125166;5.988794;850.0;5.0;285.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
59;2026-05-10T08:03:52+00:00;44.125196;5.988814;850.0;5.0;290.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
60;2026-05-10T08:03:56+00:00;44.125226;5.988834;850.0;5.0;295.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
61;2026-05-10T08:04:00+00:00;44.125256;5.988854;850.0;5.0;300.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
62;2026-05-10T08:04:04+00:00;44.125286;5.988874;850.0;5.0;305.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
63;2026-05-10T08:04:08+00:00;44.125316;5.988894;850.0;5.0;310.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
64;2026-05-10T08:04:12+00:00;44.125346;5.988914;850.0;5.0;315.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
65;2026-05-10T08:04:16+00:00;44.125376;5.988934;850.0;5.0;320.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
66;2026-05-10T08:04:20+00:00;44.125406;5.988954;850.0;5.0;325.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
67;2026-05-10T08:04:24+00:00;44.125436;5.988974;850.0;5.0;330.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
68;2026-05-10T08:04:28+00:00;44.125466;5.988994;850.0;5.0;335.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
69;2026-05-10T08:04:32+00:00;44.125496;5.989014;850.0;5.0;340.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
70;2026-05-10T08:04:36+00:00;44.125526;5.989034;850.0;5.0;345.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
71;2026-05-10T08:04:40+00:00;44.125556;5.989054;850.0;5.0;350.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
72;2026-05-10T08:04:44+00:00;44.125586;5.989074;850.0;5.0;355.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
73;2026-05-10T08:04:48+00:00;44.125616;5.989094;850.0;5.0;360.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
74;2026-05-10T08:04:52+00:00;44.125646;5.989114;850.0;5.0;365.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
75;2026-05-10T08:04:56+00:00;44.125676;5.989134;850.0;5.0;370.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
76;2026-05-10T08:05:00+00:00;44.125706;5.989154;850.0;5.0;375.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
77;2026-05-10T08:05:04+00:00;44.125736;5.989174;850.0;5.0;380.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
78;2026-05-10T08:05:08+00:00;44.125766;5.989194;850.0;5.0;385.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
79;2026-05-10T08:05:12+00:00;44.125796;5.989214;850.0;5.0;390.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
80;2026-05-10T08:05:16+00:00;44.125826;5.989234;850.0;5.0;395.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
81;2026-05-10T08:05:20+00:00;44.125856;5.989254;850.0;5.0;400.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
82;2026-05-10T08:05:24+00:00;44.125886;5.989274;850.0;5.0;405.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
83;2026-05-10T08:05:28+00:00;44.125916;5.989294;850.0;5.0;410.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
84;2026-05-10T08:05:32+00:00;44.125946;5.989314;850.0;5.0;415.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
85;2026-05-10T08:05:36+00:00;44.125976;5.989334;850.0;5.0;420.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
86;2026-05-10T08:05:40+00:00;44.126006;5.989354;850.0;5.0;425.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
87;2026-05-10T08:05:44+00:00;44.126036;5.989374;850.0;5.0;430.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
88;2026-05-10T08:05:48+00:00;44.126066;5.989394;850.0;5.0;435.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
89;2026-05-10T08:05:52+00:00;44.126096;5.989414;850.0;5.0;440.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
90;2026-05-10T08:05:56+00:00;44.126126;5.989434;850.0;5.0;445.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
91;2026-05-10T08:06:00+00:00;44.126156;5.989454;850.0;5.0;450.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
92;2026-05-10T08:06:04+00:00;44.126186;5.989474;850.0;5.0;455.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
93;2026-05-10T08:06:08+00:00;44.126216;5.989494;850.0;5.0;460.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
94;2026-05-10T08:06:12+00:00;44.126246;5.989514;850.0;5.0;465.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
95;2026-05-10T08:06:16+00:00;44.126276;5.989534;850.0;5.0;470.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
96;2026-05-10T08:06:20+00:00;44.126306;5.989554;850.0;5.0;475.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
97;2026-05-10T08:06:24+00:00;44.126336;5.989574;850.0;5.0;480.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
98;2026-05-10T08:06:28+00:00;44.126366;5.989594;850.0;5.0;485.0;4;1.25;4.5;0.0;0.0;plat;0.0;4.5;plat
99;2026-05-10T08:06:32+00:00;44.126396;5.989614;850.0;5.0;490.0;4;1.25;4.5;0.0;0.0;plat;2.4;4.5;plat
100;2026-05-10T08:06:36+00:00;44.126426;5.989634;850.0;5.0;495.0;4;1.25;4.5;0.0;0.0;plat;4.8;4.5;montee
101;2026-05-10T08:06:40+00:00;44.126456;5.989654;850.6;5.0;500.0;4;1.25;4.5;0.6;12.0;montee;7.2;4.5;montee
102;2026-05-10T08:06:44+00:00;44.126486;5.989674;851.2;5.0;505.0;4;1.25;4.5;0.6;12.0;montee;9.6;4.5;montee
103;2026-05-10T08:06:48+00:00;44.126516;5.989694;851.8;5.0;510.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
104;2026-05-10T08:06:52+00:00;44.126546;5.989714;852.4;5.0;515.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
105;2026-05-10T08:06:56+00:00;44.126576;5.989734;853.0;5.0;520.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
106;2026-05-10T08:07:00+00:00;44.126606;5.989754;853.6;5.0;525.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
107;2026-05-10T08:07:04+00:00;44.126636;5.989774;854.2;5.0;530.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
108;2026-05-10T08:07:08+00:00;44.126666;5.989794;854.8;5.0;535.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
109;2026-05-10T08:07:12+00:00;44.126696;5.989814;855.4;5.0;540.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
110;2026-05-10T08:07:16+00:00;44.126726;5.989834;856.0;5.0;545.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
111;2026-05-10T08:07:20+00:00;44.126756;5.989854;856.6;5.0;550.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
112;2026-05-10T08:07:24+00:00;44.126786;5.989874;857.2;5.0;555.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
113;2026-05-10T08:07:28+00:00;44.126816;5.989894;857.8;5.0;560.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
114;2026-05-10T08:07:32+00:00;44.126846;5.989914;858.4;5.0;565.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
115;2026-05-10T08:07:36+00:00;44.126876;5.989934;859.0;5.0;570.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
116;2026-05-10T08:07:40+00:00;44.126906;5.989954;859.6;5.0;575.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
117;2026-05-10T08:07:44+00:00;44.126936;5.989974;860.2;5.0;580.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
118;2026-05-10T08:07:48+00:00;44.126966;5.989994;860.8;5.0;585.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
119;2026-05-10T08:07:52+00:00;44.126996;5.990014;861.4;5.0;590.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
120;2026-05-10T08:07:56+00:00;44.127026;5.990034;862.0;5.0;595.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
121;2026-05-10T08:08:00+00:00;44.127056;5.990054;862.6;5.0;600.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
122;2026-05-10T08:08:04+00:00;44.127086;5.990074;863.2;5.0;605.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
123;2026-05-10T08:08:08+00:00;44.127116;5.990094;863.8;5.0;610.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
124;2026-05-10T08:08:12+00:00;44.127146;5.990114;864.4;5.0;615.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
125;2026-05-10T08:08:16+00:00;44.127176;5.990134;865.0;5.0;620.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
126;2026-05-10T08:08:20+00:00;44.127206;5.990154;865.6;5.0;625.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
127;2026-05-10T08:08:24+00:00;44.127236;5.990174;866.2;5.0;630.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
128;2026-05-10T08:08:28+00:00;44.127266;5.990194;866.8;5.0;635.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
129;2026-05-10T08:08:32+00:00;44.127296;5.990214;867.4;5.0;640.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
130;2026-05-10T08:08:36+00:00;44.127326;5.990234;868.0;5.0;645.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
131;2026-05-10T08:08:40+00:00;44.127356;5.990254;868.6;5.0;650.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
132;2026-05-10T08:08:44+00:00;44.127386;5.990274;869.2;5.0;655.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
133;2026-05-10T08:08:48+00:00;44.127416;5.990294;869.8;5.0;660.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
134;2026-05-10T08:08:52+00:00;44.127446;5.990314;870.4;5.0;665.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
135;2026-05-10T08:08:56+00:00;44.127476;5.990334;871.0;5.0;670.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
136;2026-05-10T08:09:00+00:00;44.127506;5.990354;871.6;5.0;675.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
137;2026-05-10T08:09:04+00:00;44.127536;5.990374;872.2;5.0;680.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
138;2026-05-10T08:09:08+00:00;44.127566;5.990394;872.8;5.0;685.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
139;2026-05-10T08:09:12+00:00;44.127596;5.990414;873.4;5.0;690.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
140;2026-05-10T08:09:16+00:00;44.127626;5.990434;874.0;5.0;695.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
141;2026-05-10T08:09:20+00:00;44.127656;5.990454;874.6;5.0;700.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
142;2026-05-10T08:09:24+00:00;44.127686;5.990474;875.2;5.0;705.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
143;2026-05-10T08:09:28+00:00;44.127716;5.990494;875.8;5.0;710.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
144;2026-05-10T08:09:32+00:00;44.127746;5.990514;876.4;5.0;715.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
145;2026-05-10T08:09:36+00:00;44.127776;5.990534;877.0;5.0;720.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
146;2026-05-10T08:09:40+00:00;44.127806;5.990554;877.6;5.0;725.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
147;2026-05-10T08:09:44+00:00;44.127836;5.990574;878.2;5.0;730.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
148;2026-05-10T08:09:48+00:00;44.127866;5.990594;878.8;5.0;735.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
149;2026-05-10T08:09:52+00:00;44.127896;5.990614;879.4;5.0;740.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
150;2026-05-10T08:09:56+00:00;44.127926;5.990634;880.0;5.0;745.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
151;2026-05-10T08:10:00+00:00;44.127956;5.990654;880.6;5.0;750.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
152;2026-05-10T08:10:04+00:00;44.127986;5.990674;881.2;5.0;755.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
153;2026-05-10T08:10:08+00:00;44.128016;5.990694;881.8;5.0;760.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
154;2026-05-10T08:10:12+00:00;44.128046;5.990714;882.4;5.0;765.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
155;2026-05-10T08:10:16+00:00;44.128076;5.990734;883.0;5.0;770.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
156;2026-05-10T08:10:20+00:00;44.128106;5.990754;883.6;5.0;775.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
157;2026-05-10T08:10:24+00:00;44.128136;5.990774;884.2;5.0;780.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
158;2026-05-10T08:10:28+00:00;44.128166;5.990794;884.8;5.0;785.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
159;2026-05-10T08:10:32+00:00;44.128196;5.990814;885.4;5.0;790.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
160;2026-05-10T08:10:36+00:00;44.128226;5.990834;886.0;5.0;795.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
161;2026-05-10T08:10:40+00:00;44.128256;5.990854;886.6;5.0;800.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
162;2026-05-10T08:10:44+00:00;44.128286;5.990874;887.2;5.0;805.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
163;2026-05-10T08:10:48+00:00;44.128316;5.990894;887.8;5.0;810.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
164;2026-05-10T08:10:52+00:00;44.128346;5.990914;888.4;5.0;815.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
165;2026-05-10T08:10:56+00:00;44.128376;5.990934;889.0;5.0;820.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
166;2026-05-10T08:11:00+00:00;44.128406;5.990954;889.6;5.0;825.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
167;2026-05-10T08:11:04+00:00;44.128436;5.990974;890.2;5.0;830.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
168;2026-05-10T08:11:08+00:00;44.128466;5.990994;890.8;5.0;835.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
169;2026-05-10T08:11:12+00:00;44.128496;5.991014;891.4;5.0;840.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
170;2026-05-10T08:11:16+00:00;44.128526;5.991034;892.0;5.0;845.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
171;2026-05-10T08:11:20+00:00;44.128556;5.991054;892.6;5.0;850.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
172;2026-05-10T08:11:24+00:00;44.128586;5.991074;893.2;5.0;855.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
173;2026-05-10T08:11:28+00:00;44.128616;5.991094;893.8;5.0;860.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
174;2026-05-10T08:11:32+00:00;44.128646;5.991114;894.4;5.0;865.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
175;2026-05-10T08:11:36+00:00;44.128676;5.991134;895.0;5.0;870.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
176;2026-05-10T08:11:40+00:00;44.128706;5.991154;895.6;5.0;875.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
177;2026-05-10T08:11:44+00:00;44.128736;5.991174;896.2;5.0;880.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
178;2026-05-10T08:11:48+00:00;44.128766;5.991194;896.8;5.0;885.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
179;2026-05-10T08:11:52+00:00;44.128796;5.991214;897.4;5.0;890.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
180;2026-05-10T08:11:56+00:00;44.128826;5.991234;898.0;5.0;895.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
181;2026-05-10T08:12:00+00:00;44.128856;5.991254;898.6;5.0;900.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
182;2026-05-10T08:12:04+00:00;44.128886;5.991274;899.2;5.0;905.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
183;2026-05-10T08:12:08+00:00;44.128916;5.991294;899.8;5.0;910.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
184;2026-05-10T08:12:12+00:00;44.128946;5.991314;900.4;5.0;915.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
185;2026-05-10T08:12:16+00:00;44.128976;5.991334;901.0;5.0;920.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
186;2026-05-10T08:12:20+00:00;44.129006;5.991354;901.6;5.0;925.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
187;2026-05-10T08:12:24+00:00;44.129036;5.991374;902.2;5.0;930.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
188;2026-05-10T08:12:28+00:00;44.129066;5.991394;902.8;5.0;935.0;4;1.25;4.5;0.6;12.0;montee;12.0;4.5;montee
